종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"048870","시너지이노베이션","KOSDAQ","의료·정밀기기","2430","30","1.25","214099920090"
"025320","시노펙스","KOSDAQ","전기·전자","6840","-250","-3.53","630097400520"
"340810","시선AI","KOSDAQ","IT 서비스","3585","260","7.82","46447553970"
"269620","시스웍","KOSDAQ","의료·정밀기기","889","0","0.00","132090012299"
"056090","시지메드텍","KOSDAQ","의료·정밀기기","1717","31","1.84","177295764812"
"429270","시지트로닉스","KOSDAQ","전기·전자","5210","360","7.42","33600493510"
"418250","시큐레터","KOSDAQ","IT 서비스","6550","0","0.00","47629012750"
"131090","시큐브","KOSDAQ","IT 서비스","3930","60","1.55","31440000000"
"290520","신도기연","KOSDAQ","기계·장비","1771","2","0.11","28210900102"
"001000","신라섬유","KOSDAQ","부동산","2395","70","3.01","58144708300"
"025870","신라에스지","KOSDAQ","유통","5280","-20","-0.38","21120000000"
"215600","신라젠","KOSDAQ","일반서비스","3815","5","0.13","526965324340"
"065350","신성델타테크","KOSDAQ","전기·전자","71600","-2800","-3.76","1967850676800"
"416180","신성에스티","KOSDAQ","운송장비·부품","38800","-1100","-2.76","350743386400"
"162300","신스틸","KOSDAQ","금속","1708","4","0.23","70833120456"
"290560","신시웨이","KOSDAQ","IT 서비스","8400","0","0.00","31307824800"
"002800","신신제약","KOSDAQ","제약","5880","100","1.73","89202540000"
"472220","신영스팩10호","KOSDAQ","금융","2205","15","0.68","10341450000"
"0091W0","신영스팩11호","KOSDAQ","금융","2080","0","0.00","12621440000"
"017000","신원종합개발","KOSDAQ","건설","3380","5","0.15","39437931260"
"012790","신일제약","KOSDAQ","제약","5980","160","2.75","71678761700"
"138070","신진에스엠","KOSDAQ","금속","1908","59","3.19","33396113232"
"226330","신테카바이오","KOSDAQ","IT 서비스","3750","70","1.90","90969281250"
"452980","신한제11호스팩","KOSDAQ","금융","2110","5","0.24","39889550000"
"474660","신한제12호스팩","KOSDAQ","금융","2100","0","0.00","11592000000"
"474930","신한제13호스팩","KOSDAQ","금융","2130","0","0.00","7710600000"
"487360","신한제14호스팩","KOSDAQ","금융","2095","-10","-0.48","11815800000"
"487830","신한제15호스팩","KOSDAQ","금융","2072","-3","-0.14","9013200000"
"496070","신한제16호스팩","KOSDAQ","금융","2040","0","0.00","11464800000"
"056700","신화인터텍","KOSDAQ","화학","1829","11","0.61","53288081439"
"187270","신화콘텍","KOSDAQ","전기·전자","4190","255","6.48","42502710550"
"243840","신흥에스이씨","KOSDAQ","전기·전자","6160","30","0.49","237518727600"
"257720","실리콘투","KOSDAQ","유통","43500","-750","-1.69","2660977998000"
"222800","심텍","KOSDAQ","전기·전자","52400","-2000","-3.68","1956732223200"
"036710","심텍홀딩스","KOSDAQ","일반서비스","2625","-20","-0.76","138672854250"
"444530","심플랫폼","KOSDAQ","IT 서비스","7000","0","0.00","44780561000"
"234030","싸이닉솔루션","KOSDAQ","전기·전자","9290","-160","-1.69","219290450000"
"160980","싸이맥스","KOSDAQ","기계·장비","17910","-690","-3.71","195653192130"
"356890","싸이버원","KOSDAQ","IT 서비스","3850","60","1.58","46022226250"
"217330","싸이토젠","KOSDAQ","일반서비스","6940","-40","-0.57","160519056180"
"208640","썸에이지","KOSDAQ","IT 서비스","269","5","1.89","37455628326"
"222420","쎄노텍","KOSDAQ","비금속","1415","55","4.04","66264581595"
"037760","쎄니트","KOSDAQ","금속","1818","10","0.55","61508250378"
"081180","쎄크","KOSDAQ","기계·장비","16850","1330","8.57","148710264750"
"099320","쎄트렉아이","KOSDAQ","운송장비·부품","187000","-18000","-8.78","2047888986000"
"049960","쎌바이오텍","KOSDAQ","제약","13470","30","0.22","126618000000"
"088280","쏘닉스","KOSDAQ","전기·전자","2005","80","4.16","34699512450"
"050890","쏠리드","KOSDAQ","전기·전자","9050","-350","-3.72","549846632700"
"394800","쓰리빌리언","KOSDAQ","일반서비스","13660","150","1.11","433861762160"
"177900","쓰리에이로직스","KOSDAQ","전기·전자","6260","30","0.48","60000848000"
"475400","씨메스","KOSDAQ","기계·장비","39300","100","0.26","459875316600"
"109670","씨싸이트","KOSDAQ","섬유·의류","6410","50","0.79","37412618820"
"066790","씨씨에스","KOSDAQ","오락·문화","1493","0","0.00","97271994227"
"222080","씨아이에스","KOSDAQ","기계·장비","13750","670","5.12","1063862786250"
"352480","씨앤씨인터내셔널","KOSDAQ","화학","35900","-400","-1.10","489313445900"
"264660","씨앤지하이테크","KOSDAQ","기계·장비","18900","-1400","-6.90","183730150800"
"352700","씨앤투스","KOSDAQ","화학","2180","40","1.87","57283639820"
"458870","씨어스테크놀로지","KOSDAQ","의료·정밀기기","164000","5300","3.34","2077204320000"
"297090","씨에스베어링","KOSDAQ","기계·장비","6600","450","7.32","179982000000"
"900120","씨엑스아이","KOSDAQ","금융","522","9","1.75","15690163248"
"359090","씨엔알리서치","KOSDAQ","일반서비스","881","3","0.34","50631701677"
"115530","씨엔플러스","KOSDAQ","전기·전자","310","-6","-1.90","21068530000"
"388210","씨엠티엑스","KOSDAQ","전기·전자","124800","-10800","-7.96","1157231462400"
"115480","씨유메디칼","KOSDAQ","의료·정밀기기","644","3","0.47","39042215352"
"376290","씨유테크","KOSDAQ","전기·전자","2895","5","0.17","51118462500"
"189330","씨이랩","KOSDAQ","IT 서비스","4425","25","0.57","41516606700"
"096530","씨젠","KOSDAQ","제약","27100","150","0.56","1415324437400"
"101240","씨큐브","KOSDAQ","화학","3975","35","0.89","43174025250"
"060590","씨티씨바이오","KOSDAQ","제약","4225","35","0.84","102164809500"
"260930","씨티케이","KOSDAQ","화학","4505","0","0.00","87133867455"
"413630","씨피시스템","KOSDAQ","화학","4725","5","0.11","172163057850"
"013990","아가방컴퍼니","KOSDAQ","유통","4700","45","0.97","154571419200"
"123860","아나패스","KOSDAQ","전기·전자","17350","50","0.29","210341250250"
"025980","아난티","KOSDAQ","일반서비스","8560","110","1.30","810628028160"
"0015N0","아로마티카","KOSDAQ","화학","11340","-420","-3.57","144188667000"
"125210","아모그린텍","KOSDAQ","전기·전자","7380","-60","-0.81","121746310200"
"357580","아모센스","KOSDAQ","전기·전자","12800","240","1.91","149176268800"
"052710","아모텍","KOSDAQ","전기·전자","9160","-320","-3.38","133874398440"
"074430","아미노로직스","KOSDAQ","제약","1632","66","4.21","143333409408"
"092040","아미코젠","KOSDAQ","음식료·담배","1796","133","8.00","100091103348"
"083930","아바코","KOSDAQ","기계·장비","16030","-250","-1.54","235276301470"
"149950","아바텍","KOSDAQ","전기·전자","9960","340","3.53","136130321880"
"036010","아비코전자","KOSDAQ","전기·전자","8730","-330","-3.64","116047313820"
"050860","아세아텍","KOSDAQ","기계·장비","1939","2","0.10","43627500000"
"136410","아셈스","KOSDAQ","화학","9220","400","4.54","101596157320"
"246720","아스타","KOSDAQ","제약","10600","-380","-3.46","160921780000"
"450950","아스테라시스","KOSDAQ","의료·정밀기기","14610","690","4.96","547978614120"
"067390","아스트","KOSDAQ","운송장비·부품","725","36","5.22","292289244775"
"159010","아스플로","KOSDAQ","기계·장비","5050","-70","-1.37","67340431950"
"127710","아시아경제","KOSDAQ","IT 서비스","1082","-3","-0.28","37766216724"
"154030","아시아종묘","KOSDAQ","농업, 임업 및 어업","2190","10","0.46","26415488730"
"227610","아우딘퓨쳐스","KOSDAQ","화학","760","3","0.40","28790391440"
"331740","아우토크립트","KOSDAQ","IT 서비스","16490","1090","7.08","160257916590"
"143160","아이디스","KOSDAQ","전기·전자","18810","0","0.00","201575295900"
"054800","아이디스홀딩스","KOSDAQ","일반서비스","13190","-390","-2.87","136486901640"
"332370","아이디피","KOSDAQ","전기·전자","5320","20","0.38","70616222320"
"066430","아이로보틱스","KOSDAQ","유통","3390","-10","-0.29","132730283640"
"339950","아이비김영","KOSDAQ","일반서비스","2120","30","1.44","95286908600"
"469750","아이비젼웍스","KOSDAQ","기계·장비","1385","-49","-3.42","47722226185"
"460470","아이빔테크놀로지","KOSDAQ","의료·정밀기기","3205","-35","-1.08","48457580850"
"099190","아이센스","KOSDAQ","의료·정밀기기","19220","410","2.18","530624337720"
"461300","아이스크림미디어","KOSDAQ","IT 서비스","16060","50","0.31","213637073980"
"289010","아이스크림에듀","KOSDAQ","오락·문화","1622","19","1.19","22619205232"
"214430","아이쓰리시스템","KOSDAQ","전기·전자","114400","-6100","-5.06","835945396000"
"040910","아이씨디","KOSDAQ","기계·장비","4630","80","1.76","85998893250"
"368600","아이씨에이치","KOSDAQ","전기·전자","1239","68","5.81","21730010694"
"456010","아이씨티케이","KOSDAQ","전기·전자","17130","-550","-3.11","238138759020"
"052860","아이앤씨","KOSDAQ","전기·전자","3125","-15","-0.48","55821418750"
"464500","아이언디바이스","KOSDAQ","전기·전자","3550","-15","-0.42","49569583650"
"212710","아이에스티이","KOSDAQ","전기·전자","9460","-690","-6.80","91033371880"
"038880","아이에이","KOSDAQ","전기·전자","144","1","0.70","54103849200"
"307180","아이엘","KOSDAQ","전기·전자","4100","160","4.06","137401401700"
"101390","아이엠","KOSDAQ","전기·전자","396","0","0.00","5510084184"
"461030","아이엠비디엑스","KOSDAQ","일반서비스","8830","80","0.91","123776732500"
"451220","아이엠티","KOSDAQ","기계·장비","13540","490","3.75","106622232940"
"090150","아이윈","KOSDAQ","운송장비·부품","713","-4","-0.56","29857083909"
"123010","아이윈플러스","KOSDAQ","전기·전자","1351","-68","-4.79","44121690242"
"031310","아이즈비전","KOSDAQ","통신","1513","3","0.20","39875180059"
"462980","아이지넷","KOSDAQ","IT 서비스","1949","-1","-0.05","35538917713"
"185490","아이진","KOSDAQ","일반서비스","1498","5","0.33","64758216432"
"059100","아이컴포넌트","KOSDAQ","전기·전자","6310","1170","22.76","44617126600"
"262840","아이퀘스트","KOSDAQ","IT 서비스","1721","3","0.17","36371450505"
"175250","아이큐어","KOSDAQ","제약","2170","0","0.00","81501658560"
"052460","아이크래프트","KOSDAQ","IT 서비스","3400","-500","-12.82","49666982400"
"119830","아이텍","KOSDAQ","일반서비스","8660","-40","-0.46","205192655320"
"052770","아이톡시","KOSDAQ","IT 서비스","745","-34","-4.36","10853736630"
"124500","아이티센글로벌","KOSDAQ","IT 서비스","49800","1000","2.05","1155585444600"
"010280","아이티센엔텍","KOSDAQ","IT 서비스","1132","3","0.27","73720125752"
"232830","아이티센피엔에스","KOSDAQ","IT 서비스","1986","-7","-0.35","32835979836"
"372800","아이티아이즈","KOSDAQ","IT 서비스","5000","-140","-2.72","35185945000"
"084850","아이티엠반도체","KOSDAQ","전기·전자","10130","-10","-0.10","229778121420"
"309710","아이티켐","KOSDAQ","제약","32500","200","0.62","415447532500"
"114840","아이패밀리에스씨","KOSDAQ","화학","15390","-10","-0.06","266553261000"
"027360","아주IB투자","KOSDAQ","금융","4865","-75","-1.52","589372400190"
"032080","아즈텍WB","KOSDAQ","섬유·의류","1272","9","0.71","27336588888"
"013310","아진산업","KOSDAQ","운송장비·부품","3455","-5","-0.14","134076740810"
"059120","아진엑스텍","KOSDAQ","전기·전자","9000","-400","-4.26","82395297000"
"0007C0","아크릴","KOSDAQ","IT 서비스","44000","7550","20.71","353334256000"
"203690","아크솔루션스","KOSDAQ","종이·목재","4425","0","0.00","89196141000"
"158430","아톤","KOSDAQ","IT 서비스","7600","-140","-1.81","186063899200"
"200350","아티스트스튜디오","KOSDAQ","오락·문화","5470","110","2.05","54678256750"
"321820","아티스트컴퍼니","KOSDAQ","IT 서비스","3850","15","0.39","60026797600"
"001540","안국약품","KOSDAQ","제약","8630","100","1.17","112556084600"
"053800","안랩","KOSDAQ","IT 서비스","63500","200","0.32","706533131000"
"065660","안트로젠","KOSDAQ","유통","38950","-150","-0.38","389737595000"
"297570","알로이스","KOSDAQ","전기·전자","1341","14","1.06","46427053338"
"260660","알리코제약","KOSDAQ","제약","4000","60","1.52","61308084000"
"354320","알멕","KOSDAQ","금속","69400","400","0.58","443561841400"
"361570","알비더블유","KOSDAQ","오락·문화","2025","25","1.25","58205164275"
"131370","알서포트","KOSDAQ","IT 서비스","2390","30","1.27","127308328370"
"140670","알에스오토메이션","KOSDAQ","전기·전자","25550","-1650","-6.07","328057912000"
"096610","알에프세미","KOSDAQ","전기·전자","2965","0","0.00","51550708615"
"061040","알에프텍","KOSDAQ","전기·전자","1883","78","4.32","60424074697"
"148250","알엔투테크놀로지","KOSDAQ","전기·전자","2850","-60","-2.06","26923015200"
"476830","알지노믹스","KOSDAQ","일반서비스","137200","4000","3.00","1911723122400"
"347860","알체라","KOSDAQ","IT 서비스","1876","69","3.82","72621762836"
"196170","알테오젠","KOSDAQ","일반서비스","378000","-8000","-2.07","20225187864000"
"123750","알톤","KOSDAQ","운송장비·부품","3125","-20","-0.64","39832178125"
"459550","알트","KOSDAQ","전기·전자","4010","-140","-3.37","100521753690"
"085810","알티캐스트","KOSDAQ","IT 서비스","562","50","9.77","35005166426"
"043100","알파AI","KOSDAQ","의료·정밀기기","2250","0","0.00","45247680000"
"117670","알파칩스","KOSDAQ","전기·전자","19830","-470","-2.32","132102343860"
"314140","알피바이오","KOSDAQ","제약","6810","20","0.29","59017918410"
"291650","압타머사이언스","KOSDAQ","일반서비스","1220","92","8.16","49113652240"
"293780","압타바이오","KOSDAQ","일반서비스","8010","-20","-0.25","225028174050"
"310200","애니플러스","KOSDAQ","오락·문화","3070","80","2.68","160139906520"
"179530","애드바이오텍","KOSDAQ","제약","1801","62","3.57","35443013630"
"397810","애드포러스","KOSDAQ","일반서비스","7390","0","0.00","38138090300"
"900100","애머릿지","KOSDAQ","유통","517","2","0.39","23801279964"
"052790","액토즈소프트","KOSDAQ","IT 서비스","6050","30","0.50","68550359900"
"290740","액트로","KOSDAQ","전기·전자","26400","-1600","-5.71","265716290400"
"238090","앤디포스","KOSDAQ","화학","1675","27","1.64","39431682525"
"138360","앤로보틱스","KOSDAQ","기계·장비","2835","-205","-6.74","218271531870"
"092600","앤씨앤","KOSDAQ","전기·전자","815","45","5.84","20443066355"
"129890","앱코","KOSDAQ","전기·전자","922","9","0.99","41993045044"
"174900","앱클론","KOSDAQ","제약","64100","3000","4.91","1277225191000"
"109960","앱토크롬","KOSDAQ","유통","237","-3","-1.25","52327056753"
"270520","앱튼","KOSDAQ","일반서비스","338","0","0.00","66447131686"
"255440","야스","KOSDAQ","기계·장비","11770","-390","-3.21","153692660000"
"030960","양지사","KOSDAQ","출판·매체복제","8610","240","2.87","137587800000"
"102120","어보브반도체","KOSDAQ","전기·전자","12570","10","0.08","223504065210"
"238120","얼라인드","KOSDAQ","의료·정밀기기","4305","195","4.74","61901147280"
"019990","에너토크","KOSDAQ","기계·장비","8720","20","0.23","85073087360"
"435570","에르코스","KOSDAQ","음식료·담배","13320","160","1.22","101458213560"
"270660","에브리봇","KOSDAQ","전기·전자","25600","-300","-1.16","324878924800"
"038680","에스넷","KOSDAQ","IT 서비스","3330","65","1.99","66309097860"
"217480","에스디생명공학","KOSDAQ","화학","499","0","0.00","54756837359"
"121890","에스디시스템","KOSDAQ","전기·전자","1538","-2","-0.13","20442243948"
"304360","에스바이오메딕스","KOSDAQ","제약","34450","1300","3.92","426667659600"
"389500","에스비비테크","KOSDAQ","기계·장비","60700","-2200","-3.50","384467972800"
"042110","에스씨디","KOSDAQ","전기·전자","1343","-3","-0.22","64906604452"
"298060","에스씨엠생명과학","KOSDAQ","제약","873","-2","-0.23","38589372648"
"065420","에스아이리소스","KOSDAQ","화학","220","8","3.77","15747005780"
"103230","에스앤더블류","KOSDAQ","기계·장비","3965","-10","-0.25","28548000000"
"260970","에스앤디","KOSDAQ","음식료·담배","69200","3400","5.17","200178576800"
"101490","에스앤에스텍","KOSDAQ","전기·전자","88800","-4900","-5.23","1894537255200"
"095910","에스에너지","KOSDAQ","전기·전자","1425","34","2.44","32636519925"
"275630","에스에스알","KOSDAQ","IT 서비스","2805","55","2.00","16880459145"
"031330","에스에이엠티","KOSDAQ","유통","4730","-100","-2.07","472976666910"
"060540","에스에이티","KOSDAQ","의료·정밀기기","1324","22","1.69","34600497144"
"056190","에스에프에이","KOSDAQ","기계·장비","31900","-600","-1.85","1145489444000"
"0008Z0","에스엔시스","KOSDAQ","전기·전자","32050","-300","-0.93","302441876200"
"246250","에스엘에스바이오","KOSDAQ","일반서비스","1969","0","0.00","30220617614"
"041510","에스엠","KOSDAQ","오락·문화","114400","100","0.09","2619152536000"
"460870","에스엠씨지","KOSDAQ","비금속","3490","85","2.50","69619580960"
"007820","에스엠코어","KOSDAQ","기계·장비","5580","-350","-5.90","111789418680"
"464080","에스오에스랩","KOSDAQ","의료·정밀기기","19500","730","3.89","347042182500"
"109610","에스와이","KOSDAQ","금속","3000","-20","-0.66","146722200000"
"365330","에스와이스틸텍","KOSDAQ","금속","3880","-10","-0.26","194663480000"
"306040","에스제이그룹","KOSDAQ","섬유·의류","9420","-580","-5.80","92936099760"
"398120","에스지헬스케어","KOSDAQ","의료·정밀기기","4155","80","1.96","49105913205"
"457940","에스케이증권제10호스팩","KOSDAQ","금융","2115","0","0.00","7000650000"
"472230","에스케이증권제11호스팩","KOSDAQ","금융","2060","0","0.00","8559300000"
"473000","에스케이증권제12호스팩","KOSDAQ","금융","2055","5","0.24","6802050000"
"473950","에스케이증권제13호스팩","KOSDAQ","금융","2060","15","0.73","9105200000"
"455910","에스케이증권제9호스팩","KOSDAQ","금융","2125","-5","-0.23","10667500000"
"475660","에스켐","KOSDAQ","화학","5670","-30","-0.53","44962164450"
"096630","에스코넥","KOSDAQ","전기·전자","694","31","4.68","55090841504"
"069510","에스텍","KOSDAQ","전기·전자","15000","-40","-0.27","163650000000"
"488280","에스투더블유","KOSDAQ","IT 서비스","21600","750","3.60","230240080800"
"234300","에스트래픽","KOSDAQ","IT 서비스","3735","135","3.75","101621058300"
"039440","에스티아이","KOSDAQ","기계·장비","35750","-750","-2.05","554376930250"
"098660","에스티오","KOSDAQ","섬유·의류","1535","-1","-0.07","19188998160"
"052020","에스티큐브","KOSDAQ","유통","8590","140","1.66","583976469690"
"237690","에스티팜","KOSDAQ","제약","152400","-2400","-1.55","3161872670400"
"050760","에스폴리텍","KOSDAQ","화학","1256","3","0.24","20516355568"
"288620","에스퓨얼셀","KOSDAQ","전기·전자","10020","-60","-0.60","69932746320"
"443670","에스피소프트","KOSDAQ","유통","5390","60","1.13","133356102880"
"317830","에스피시스템스","KOSDAQ","기계·장비","12640","-20","-0.16","136181059520"
"058610","에스피지","KOSDAQ","전기·전자","133200","-4800","-3.48","2954024352000"
"043340","에쎈테크","KOSDAQ","기계·장비","454","-19","-4.02","43130000000"
"163280","에어레인","KOSDAQ","기계·장비","12770","-130","-1.01","86855653030"
"200710","에이디테크놀로지","KOSDAQ","전기·전자","38200","-1950","-4.86","513439400400"
"475580","에이럭스","KOSDAQ","기타제조","9690","50","0.52","132025281000"
"096690","에이루트","KOSDAQ","전기·전자","1779","24","1.37","42939817287"
"298380","에이비엘바이오","KOSDAQ","제약","185800","-3400","-1.80","10274316004400"
"203400","에이비온","KOSDAQ","일반서비스","3510","105","3.08","316255577040"
"195990","에이비프로바이오","KOSDAQ","기계·장비","191","10","5.52","54375736711"
"003800","에이스침대","KOSDAQ","기타제조","36750","800","2.23","407557500000"
"088800","에이스테크","KOSDAQ","전기·전자","2925","5","0.17","220856319450"
"241840","에이스토리","KOSDAQ","오락·문화","7220","250","3.59","68878756680"
"364950","에이아이코리아","KOSDAQ","기계·장비","7580","-20","-0.26","62887053100"
"453860","에이에스텍","KOSDAQ","화학","15310","-20","-0.13","98664116130"
"312610","에이에프더블류","KOSDAQ","전기·전자","1303","22","1.72","26394725064"
"172670","에이엘티","KOSDAQ","전기·전자","14560","270","1.89","130461371040"
"481070","에이유브랜즈","KOSDAQ","유통","25200","450","1.82","356832000000"
"060900","에이전트AI","KOSDAQ","전기·가스·수도","508","-12","-2.31","40549305744"
"445090","에이직랜드","KOSDAQ","전기·전자","31300","-1000","-3.10","341973095400"
"295310","에이치브이엠","KOSDAQ","금속","88300","-900","-1.01","1050940507300"
"072990","에이치시티","KOSDAQ","일반서비스","6300","100","1.61","90759097800"
