종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"023960","에쓰씨엔지니어링","KOSPI","건설","1585","-25","-1.55","60287020375"
"298690","에어부산","KOSPI","운송·창고","1987","54","2.79","231763680000"
"140910","에이리츠","KOSPI","부동산","3130","0","0.00","13969290160"
"078520","에이블씨엔씨","KOSPI","화학","11300","-510","-4.32","293960019300"
"015260","에이엔피","KOSPI","전기·전자","441","21","5.00","19896550254"
"007460","에이프로젠","KOSPI","금속","588","-17","-2.81","193631357640"
"003060","에이프로젠바이오로직스","KOSPI","제약","454","-16","-3.40","90077161630"
"244920","에이플러스에셋","KOSPI","기타금융","13870","570","4.29","313568701910"
"278470","에이피알","KOSPI","화학","275500","9500","3.57","10312145452500"
"450080","에코프로머티","KOSPI","전기·전자","64500","-2200","-3.30","4551039633000"
"019490","엑시큐어하이트론","KOSPI","전기·전자","541","0","0.00","41349858070"
"036570","엔씨소프트","KOSPI","IT 서비스","203500","500","0.25","4384208477000"
"085310","엔케이","KOSPI","금속","1120","34","3.13","88345960640"
"900140","엘브이엠씨홀딩스","KOSPI","유통","1579","97","6.55","305126642128"
"066970","엘앤에프","KOSPI","전기·전자","118000","-2800","-2.32","4748288612000"
"097520","엠씨넥스","KOSPI","전기·전자","29800","150","0.51","518564700000"
"484870","엠앤씨솔루션","KOSPI","기계·장비","129300","300","0.23","1183599270000"
"014440","영보화학","KOSPI","화학","4750","70","1.50","95000000000"
"111770","영원무역","KOSPI","유통","97200","4900","5.31","4307074689600"
"009970","영원무역홀딩스","KOSPI","기타금융","227500","12500","5.81","3071076417500"
"003520","영진약품","KOSPI","제약","1887","18","0.96","345118583397"
"000670","영풍","KOSPI","금속","59300","1700","2.95","1072022435000"
"012280","영화금속","KOSPI","운송장비·부품","971","-1","-0.10","50166234355"
"012160","영흥","KOSPI","금속","472","6","1.29","47818495584"
"007310","오뚜기","KOSPI","음식료·담배","394000","3000","0.77","1579085020000"
"002630","오리엔트바이오","KOSPI","제약","548","5","0.92","64983486740"
"271560","오리온","KOSPI","음식료·담배","128200","1700","1.34","5068532122400"
"001800","오리온홀딩스","KOSPI","기타금융","22650","100","0.44","1418918808300"
"005320","온타이드","KOSPI","유통","459","5","1.10","31384441710"
"011690","와이투솔루션","KOSPI","전기·전자","6000","-920","-13.29","220046364000"
"316140","우리금융지주","KOSPI","기타금융","35600","1050","3.04","26133116992000"
"006980","우성","KOSPI","음식료·담배","18290","260","1.44","56516100000"
"017370","우신시스템","KOSPI","기계·장비","6930","130","1.91","126916394220"
"105840","우진","KOSPI","의료·정밀기기","24250","-1250","-4.90","489793497500"
"010400","우진아이엔에스","KOSPI","건설","4030","15","0.37","30716660000"
"049800","우진플라임","KOSPI","기계·장비","2850","240","9.20","57000000000"
"016880","웅진","KOSPI","일반서비스","2600","180","7.44","207810408000"
"095720","웅진씽크빅","KOSPI","일반서비스","1187","37","3.22","137105604195"
"005820","원림","KOSPI","섬유·의류","14470","70","0.49","33251625900"
"008600","윌비스","KOSPI","유통","330","-13","-3.79","22187892870"
"033270","유나이티드제약","KOSPI","제약","19670","540","2.82","321286278740"
"014830","유니드","KOSPI","화학","83400","1800","2.21","564417840000"
"446070","유니드비티플러스","KOSPI","종이·목재","3150","50","1.61","33425327250"
"000910","유니온","KOSPI","비금속","4465","20","0.45","69705878835"
"047400","유니온머티리얼","KOSPI","비금속","1528","23","1.53","64176000000"
"011330","유니켐","KOSPI","섬유·의류","1305","22","1.71","122051009790"
"077500","유니퀘스트","KOSPI","유통","6760","50","0.75","146016689520"
"002920","유성기업","KOSPI","운송장비·부품","2175","60","2.84","56435812500"
"000700","유수홀딩스","KOSPI","일반서비스","6030","50","0.84","157032126360"
"003470","유안타증권","KOSPI","증권","4580","160","3.62","914152318080"
"003475","유안타증권우","KOSPI","증권","4390","80","1.86","56684610680"
"072130","유엔젤","KOSPI","IT 서비스","4735","10","0.21","61059974690"
"000220","유유제약","KOSPI","제약","4365","55","1.28","74346212115"
"000225","유유제약1우","KOSPI","제약","4720","-65","-1.36","10699909600"
"000227","유유제약2우B","KOSPI","제약","10640","-20","-0.19","3463958400"
"001200","유진투자증권","KOSPI","증권","4355","155","3.69","421853250390"
"000100","유한양행","KOSPI","제약","108200","900","0.84","8617870428200"
"000105","유한양행우","KOSPI","제약","93900","1500","1.62","110890266000"
"003460","유화증권","KOSPI","증권","3100","35","1.14","175777486500"
"003465","유화증권우","KOSPI","증권","2775","45","1.65","48497079375"
"008730","율촌화학","KOSPI","화학","27950","-400","-1.41","693160000000"
"008250","이건산업","KOSPI","종이·목재","4770","50","1.06","52244068950"
"025820","이구산업","KOSPI","금속","5540","-60","-1.07","185268680000"
"214320","이노션","KOSPI","일반서비스","19950","230","1.17","798000000000"
"088260","이리츠코크렙","KOSPI","부동산","4680","5","0.11","296438641200"
"139480","이마트","KOSPI","유통","117600","10200","9.50","3245268314400"
"457190","이수스페셜티케미컬","KOSPI","화학","100500","-1700","-1.66","3035932140000"
"007660","이수페타시스","KOSPI","전기·전자","110700","-4000","-3.49","8126400543300"
"005950","이수화학","KOSPI","화학","9070","-220","-2.37","238488112830"
"015020","이스타코","KOSPI","부동산","551","5","0.92","23611231600"
"074610","이엔플러스","KOSPI","기계·장비","5110","0","0.00","37494481920"
"102460","이연제약","KOSPI","제약","11880","280","2.41","220811314680"
"084680","이월드","KOSPI","기타제조","1592","45","2.91","225755459256"
"350520","이지스레지던스리츠","KOSPI","부동산","3810","-20","-0.52","140460229620"
"334890","이지스밸류플러스리츠","KOSPI","부동산","4205","10","0.24","292031712015"
"000760","이화산업","KOSPI","유통","17190","880","5.40","48132000000"
"014990","인디에프","KOSPI","섬유·의류","820","-1","-0.12","61592655900"
"101140","인바이오젠","KOSPI","유통","10960","-30","-0.27","110084607360"
"006490","인스코비","KOSPI","통신","584","-15","-2.50","73517492328"
"023800","인지컨트롤스","KOSPI","운송장비·부품","7480","110","1.49","118252793560"
"034590","인천도시가스","KOSPI","전기·가스","26250","100","0.38","114837292500"
"129260","인터지스","KOSPI","운송·창고","2530","30","1.20","75262121220"
"023810","인팩","KOSPI","운송장비·부품","8370","-50","-0.59","83700000000"
"249420","일동제약","KOSPI","제약","36300","-50","-0.14","1148468547600"
"000230","일동홀딩스","KOSPI","제약","11650","10","0.09","134445660000"
"013360","일성건설","KOSPI","건설","2030","10","0.50","109670506400"
"003120","일성아이에스","KOSPI","제약","22700","150","0.67","301910000000"
"003200","일신방직","KOSPI","섬유·의류","14380","310","2.20","330164800000"
"007110","일신석재","KOSPI","유통","1725","8","0.47","133612652250"
"007570","일양약품","KOSPI","제약","13050","0","0.00","249067915200"
"007575","일양약품우","KOSPI","제약","12980","0","0.00","5777138400"
"008500","일정실업","KOSPI","섬유·의류","3180","60","1.92","19080000000"
"081000","일진다이아","KOSPI","화학","13350","30","0.23","189609716250"
"020760","일진디스플","KOSPI","전기·전자","902","0","0.00","46465394382"
"103590","일진전기","KOSPI","전기·전자","68300","-3500","-4.87","3256912137000"
"271940","일진하이솔루스","KOSPI","운송장비·부품","14100","150","1.08","512015979000"
"015860","일진홀딩스","KOSPI","기타금융","7520","-70","-0.92","371093072160"
"226320","잇츠한불","KOSPI","화학","11870","240","2.06","260300969050"
"317400","자이에스앤디","KOSPI","부동산","4660","0","0.00","180726543200"
"033240","자화전자","KOSPI","전기·전자","41400","2050","5.21","900724730400"
"000950","전방","KOSPI","섬유·의류","39350","700","1.81","66108000000"
"079900","전진건설로봇","KOSPI","기계·장비","57800","1700","3.03","843449101000"
"348950","제이알글로벌리츠","KOSPI","부동산","2300","-15","-0.65","453964800000"
"194370","제이에스코퍼레이션","KOSPI","섬유·의류","13300","100","0.76","385922881400"
"030000","제일기획","KOSPI","일반서비스","21600","300","1.41","2484890460000"
"271980","제일약품","KOSPI","제약","14730","150","1.03","216602764560"
"001560","제일연마","KOSPI","비금속","9670","320","3.42","94766000000"
"002620","제일파마홀딩스","KOSPI","일반서비스","8060","40","0.50","128745241300"
"006220","제주은행","KOSPI","은행","15450","-300","-1.90","583987705650"
"089590","제주항공","KOSPI","운송·창고","6300","210","3.45","508038205500"
"004910","조광페인트","KOSPI","화학","5410","160","3.05","69248000000"
"004700","조광피혁","KOSPI","섬유·의류","71500","800","1.13","475413367000"
"001550","조비","KOSPI","화학","14050","-670","-4.55","72950957950"
"462520","조선내화","KOSPI","비금속","13780","290","2.15","163364215040"
"120030","조선선재","KOSPI","금속","102600","1000","0.98","129034992600"
"018470","조일알미늄","KOSPI","금속","1276","6","0.47","161582075996"
"002600","조흥","KOSPI","음식료·담배","157900","100","0.06","94740000000"
"185750","종근당","KOSPI","제약","93400","4800","5.42","1289179652000"
"063160","종근당바이오","KOSPI","제약","21400","400","1.90","117399586800"
"001630","종근당홀딩스","KOSPI","제약","51600","1400","2.79","258508827600"
"109070","주성코퍼레이션","KOSPI","전기·전자","814","0","0.00","42987527220"
"044380","주연테크","KOSPI","전기·전자","409","-4","-0.97","26372967038"
"013890","지누스","KOSPI","기타제조","12190","220","1.84","271283281440"
"013870","지엠비코리아","KOSPI","운송장비·부품","5400","130","2.47","102990312000"
"071320","지역난방공사","KOSPI","전기·가스","98400","-13800","-12.30","1139348409600"
"088790","진도","KOSPI","유통","2000","21","1.06","24895488000"
"003780","진양산업","KOSPI","화학","6320","100","1.61","82160000000"
"010640","진양폴리","KOSPI","화학","2890","15","0.52","28900000000"
"100250","진양홀딩스","KOSPI","화학","3240","80","2.53","181100746080"
"051630","진양화학","KOSPI","화학","2230","140","6.70","47276000000"
"272450","진에어","KOSPI","운송·창고","7320","230","3.24","382104000000"
"011000","진원생명과학","KOSPI","제약","1888","5","0.27","161253959168"
"002780","진흥기업","KOSPI","건설","787","19","2.47","114486263315"
"002787","진흥기업2우B","KOSPI","건설","8660","0","0.00","2553037280"
"002785","진흥기업우B","KOSPI","건설","3500","10","0.29","3000263000"
"025620","차AI헬스케어","KOSPI","화학","11950","0","0.00","217537477350"
"009310","참엔지니어링","KOSPI","기계·장비","1077","0","0.00","18280441191"
"000650","천일고속","KOSPI","운송·창고","294500","-5500","-1.83","420905290000"
"033250","체시스","KOSPI","운송장비·부품","1030","-5","-0.48","32960000000"
"035720","카카오","KOSPI","IT 서비스","58300","800","1.39","25803910502700"
"323410","카카오뱅크","KOSPI","은행","27400","800","3.01","13070113373800"
"377300","카카오페이","KOSPI","기타금융","62200","-1400","-2.20","8406028330000"
"006380","카프로","KOSPI","화학","3660","0","0.00","618539985360"
"001620","케이비아이동국실업","KOSPI","운송장비·부품","586","17","2.99","65217716166"
"029460","케이씨","KOSPI","의료·정밀기기","32550","-450","-1.36","430677610650"
"281820","케이씨텍","KOSPI","의료·정밀기기","47200","-3300","-6.53","976583245600"
"381970","케이카","KOSPI","유통","15010","-170","-1.12","732800928480"
"145270","케이탑리츠","KOSPI","부동산","914","-1","-0.11","43927547436"
"417310","코람코더원리츠","KOSPI","부동산","8820","20","0.23","356328000000"
"357120","코람코라이프인프라리츠","KOSPI","부동산","4590","20","0.44","446769274860"
"007815","코리아써우","KOSPI","전기·전자","15400","-240","-1.53","45656226000"
"007810","코리아써키트","KOSPI","전기·전자","54500","-3200","-5.55","1287330929500"
"00781K","코리아써키트2우B","KOSPI","전기·전자","13210","-260","-1.93","10352663790"
"003690","코리안리","KOSPI","보험","12840","220","1.74","2501502038040"
"192820","코스맥스","KOSPI","화학","207500","0","0.00","2355023117500"
"044820","코스맥스비티아이","KOSPI","기타금융","13620","430","3.26","130805404020"
"005070","코스모신소재","KOSPI","화학","52100","-900","-1.70","1693810387600"
"005420","코스모화학","KOSPI","화학","16620","-350","-2.06","638344749360"
"071950","코아스","KOSPI","기타제조","3795","-105","-2.69","44830718295"
"002020","코오롱","KOSPI","기타금융","63600","-900","-1.40","820928448000"
"138490","코오롱ENP","KOSPI","화학","11530","-230","-1.96","438140000000"
"003070","코오롱글로벌","KOSPI","건설","9760","480","5.17","248137839840"
"003075","코오롱글로벌우","KOSPI","건설","15560","310","2.03","11525867720"
"002025","코오롱우","KOSPI","기타금융","28650","-50","-0.17","33246520050"
"120110","코오롱인더","KOSPI","화학","61800","-800","-1.28","1700679823800"
"120115","코오롱인더우","KOSPI","화학","27600","-150","-0.54","76392936000"
"021240","코웨이","KOSPI","일반서비스","87300","4700","5.69","6277667310900"
"036420","콘텐트리중앙","KOSPI","오락·문화","7340","40","0.55","141385340720"
"024720","콜마홀딩스","KOSPI","기타금융","10210","-50","-0.49","350164804390"
"192400","쿠쿠홀딩스","KOSPI","기타금융","28250","-150","-0.53","1004631726250"
"284740","쿠쿠홈시스","KOSPI","일반서비스","25050","750","3.09","562055116500"
"264900","크라운제과","KOSPI","음식료·담배","8710","150","1.75","109082733500"
"26490K","크라운제과우","KOSPI","음식료·담배","9250","40","0.43","7155430000"
"005740","크라운해태홀딩스","KOSPI","기타금융","7010","160","2.34","104079902470"
"005745","크라운해태홀딩스우","KOSPI","기타금융","7790","20","0.26","4679655540"
"259960","크래프톤","KOSPI","IT 서비스","246500","10000","4.23","11685044341500"
"020120","키다리스튜디오","KOSPI","IT 서비스","3330","70","2.15","123422340780"
"039490","키움증권","KOSPI","증권","449000","5500","1.24","12173354003000"
"014580","태경비케이","KOSPI","비금속","4720","30","0.64","130192232000"
"015890","태경산업","KOSPI","화학","4845","60","1.25","141613293750"
"006890","태경케미컬","KOSPI","화학","7890","190","2.47","91524000000"
"003240","태광산업","KOSPI","화학","968000","19000","2.00","1077771200000"
"011280","태림포장","KOSPI","종이·목재","2190","90","4.29","155065008600"
"004100","태양금속","KOSPI","운송장비·부품","2420","90","3.86","88814000000"
"004105","태양금속우","KOSPI","운송장비·부품","3495","15","0.43","11533500000"
"009410","태영건설","KOSPI","건설","1675","68","4.23","498463380650"
"009415","태영건설우","KOSPI","건설","6980","160","2.35","4536818520"
"001420","태원물산","KOSPI","운송장비·부품","3160","20","0.64","24016000000"
"055490","테이팩스","KOSPI","화학","15820","-20","-0.13","75455863000"
"078000","텔코웨어","KOSPI","IT 서비스","15750","420","2.74","145531212750"
"214420","토니모리","KOSPI","화학","9670","70","0.73","232609906330"
"019180","티에이치엔","KOSPI","전기·전자","8340","310","3.86","150120000000"
"217590","티엠씨","KOSPI","전기·전자","14990","-380","-2.47","361172432750"
"363280","티와이홀딩스","KOSPI","기타금융","2510","50","2.03","126577462680"
"36328K","티와이홀딩스우","KOSPI","기타금융","4130","0","0.00","5133647820"
"091810","티웨이항공","KOSPI","운송·창고","1540","110","7.69","517415413900"
"004870","티웨이홀딩스","KOSPI","비금속","462","-1","-0.22","52281534228"
"034230","파라다이스","KOSPI","오락·문화","21250","350","1.67","1963618128750"
"005690","파미셀","KOSPI","제약","14810","100","0.68","888851236840"
"036580","팜스코","KOSPI","음식료·담배","3635","-110","-2.94","133506072805"
"004720","팜젠사이언스","KOSPI","제약","4185","5","0.12","91879590870"
"028670","팬오션","KOSPI","운송·창고","5080","90","1.80","2715613120960"
"010820","퍼스텍","KOSPI","금속","4680","-70","-1.47","228252669840"
"016800","퍼시스","KOSPI","기타제조","42050","-50","-0.12","483575000000"
"001020","페이퍼코리아","KOSPI","종이·목재","586","-9","-1.51","104298221418"
"090080","평화산업","KOSPI","운송장비·부품","954","2","0.21","52376755086"
"010770","평화홀딩스","KOSPI","운송장비·부품","3850","50","1.32","56308044100"
"022100","포스코DX","KOSPI","일반서비스","38550","-600","-1.53","5860938802950"
"058430","포스코스틸리온","KOSPI","금속","41700","0","0.00","250200000000"
"047050","포스코인터내셔널","KOSPI","유통","64000","0","0.00","11259058432000"
"003670","포스코퓨처엠","KOSPI","전기·전자","221000","-4500","-2.00","19657114620000"
"017810","풀무원","KOSPI","음식료·담배","13250","250","1.92","505097181500"
"103140","풍산","KOSPI","금속","111600","200","0.18","3127509424800"
"005810","풍산홀딩스","KOSPI","기타금융","39850","-200","-0.50","574529086200"
"950210","프레스티지바이오파마","KOSPI","일반서비스","12570","760","6.44","755408668350"
"009810","플레이그램","KOSPI","유통","1350","45","3.45","41009625000"
"086790","하나금융지주","KOSPI","기타금융","122200","3400","2.86","34011414470800"
"293480","하나제약","KOSPI","제약","10620","220","2.12","188748686520"
"039130","하나투어","KOSPI","일반서비스","50000","2100","4.38","774496600000"
"352820","하이브","KOSPI","오락·문화","377000","500","0.13","16165532669000"
"071090","하이스틸","KOSPI","금속","3775","55","1.48","76222803025"
"000080","하이트진로","KOSPI","음식료·담배","18060","270","1.52","1266613014660"
"000087","하이트진로2우B","KOSPI","음식료·담배","14340","140","0.99","16206178920"
"000140","하이트진로홀딩스","KOSPI","기타금융","9550","140","1.49","221624605750"
"000145","하이트진로홀딩스우","KOSPI","기타금융","12250","200","1.66","5767422500"
"152550","한국ANKOR유전","KOSPI","기타금융","202","1","0.50","14144040000"
"036460","한국가스공사","KOSPI","전기·가스","42750","1350","3.26","3946380750000"
"005430","한국공항","KOSPI","운송·창고","69600","2200","3.26","220378308000"
"071050","한국금융지주","KOSPI","기타금융","235500","12000","5.37","13123471116000"
"071055","한국금융지주우","KOSPI","기타금융","159000","9000","6.00","931461909000"
"010040","한국내화","KOSPI","비금속","2110","25","1.20","86651500820"
"025540","한국단자","KOSPI","전기·전자","74400","800","1.09","752556000000"
"010100","한국무브넥스","KOSPI","운송장비·부품","5470","90","1.67","166563797400"
"004090","한국석유","KOSPI","비금속","15510","970","6.67","196885801200"
"002200","한국수출포장","KOSPI","종이·목재","3215","35","1.10","128600000000"
"002960","한국쉘석유","KOSPI","화학","451500","7500","1.69","586950000000"
"000240","한국앤컴퍼니","KOSPI","기타금융","31200","3250","11.63","2961979488000"
"123890","한국자산신탁","KOSPI","기타금융","2650","10","0.38","324290903900"
"015760","한국전력","KOSPI","전기·가스","60800","-1800","-2.88","39031415881600"
"006200","한국전자홀딩스","KOSPI","기타금융","692","12","1.76","32387770112"
"027970","한국제지","KOSPI","종이·목재","782","2","0.26","148719381334"
"023350","한국종합기술","KOSPI","일반서비스","4725","150","3.28","51738750000"
"025890","한국주강","KOSPI","기계·장비","1803","-12","-0.66","20390593977"
"000970","한국주철관","KOSPI","금속","6900","90","1.32","157323450000"
"104700","한국철강","KOSPI","금속","9260","60","0.65","337527000000"
"017960","한국카본","KOSPI","금속","33850","-1400","-3.97","1757101100200"
"161890","한국콜마","KOSPI","화학","72800","100","0.14","1718449605600"
"161390","한국타이어앤테크놀로지","KOSPI","화학","73700","3900","5.59","9129592585300"
"034830","한국토지신탁","KOSPI","기타금융","1296","43","3.43","327226042080"
"007280","한국특강","KOSPI","금속","1363","17","1.26","82888542893"
"047810","한국항공우주","KOSPI","운송장비·부품","161300","-1300","-0.80","15722734759100"
"123690","한국화장품","KOSPI","유통","10580","10","0.09","169999440000"
"003350","한국화장품제조","KOSPI","화학","53500","1100","2.10","242462000000"
"011500","한농화성","KOSPI","화학","25550","-250","-0.97","399526423100"
"002390","한독","KOSPI","제약","11210","80","0.72","154289204930"
"053690","한미글로벌","KOSPI","일반서비스","20150","660","3.39","220794632500"
"042700","한미반도체","KOSPI","기계·장비","194900","-2900","-1.47","18576347780000"
"008930","한미사이언스","KOSPI","기타금융","45000","-2900","-6.05","3077619750000"
"128940","한미약품","KOSPI","제약","591000","28000","4.97","7571295681000"
"009240","한샘","KOSPI","유통","45550","650","1.45","1071970420400"
"020000","한섬","KOSPI","섬유·의류","21200","2950","16.16","475680236400"
"003680","한성기업","KOSPI","음식료·담배","5210","70","1.36","32351573150"
"105630","한세실업","KOSPI","섬유·의류","12980","110","0.85","519200000000"
"069640","한세엠케이","KOSPI","유통","637","-21","-3.19","28541741774"
"016450","한세예스24홀딩스","KOSPI","섬유·의류","4065","5","0.12","162600000000"
"009180","한솔로지스틱스","KOSPI","운송·창고","2930","95","3.35","82496567250"
"213500","한솔제지","KOSPI","종이·목재","8690","100","1.16","206827005440"
"014680","한솔케미칼","KOSPI","화학","287500","-7500","-2.54","3258868562500"
